targets
"{""oprNum"":""603900ed-4013-4756-928b-466141355e39"",""arr"":[{""position"":[1387,828,1584,828,1704,999,1473,1002,1392,667,1597,666,1717,802,1482,803]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""7e247854-03b0-4f64-9afe-5c9f12f18914"",""arr"":[{""position"":[1040,816,1251,825,1293,1011,1043,1000,1053,668,1262,676,1306,834,1053,825]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""dfee49f7-7438-4a5b-8e85-3e8e62548e6a"",""arr"":[{""position"":[1278,650,1439,650,1510,762,1331,763,1283,529,1447,529,1520,609,1339,610]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d221acf8-b6ce-4bd3-b8b2-0971ee474566"",""arr"":[{""position"":[1220,435,1222,455,925,438,940,420,1222,325,1224,334,922,325,942,315]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""4540fad8-269b-44de-9845-9770f5d9a964"",""arr"":[{""position"":[1011,623,1181,627,1200,727,1006,722,1014,488,1186,490,1206,559,1011,556]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""b1d5f4bc-0645-48da-8b10-8fb92bfcf748"",""arr"":[{""position"":[1530,420,1560,440,1364,436,1361,417,1534,339,1563,351,1364,345,1363,332]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""788e7ac7-fc69-40b2-ae5c-16168884a85c"",""arr"":[{""position"":[762,448,764,482,529,448,592,412,771,369,769,398,530,353,593,327]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""9ffe715a-d3fe-4675-b0c0-85b6c7936819"",""arr"":[{""position"":[623,379,619,392,379,374,418,364,623,295,619,300,379,291,418,287]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""6616fb5d-fb67-4d81-b41a-92de01c393af"",""arr"":[{""position"":[946,330,978,315,1142,326,1133,335,943,252,978,240,1141,252,1136,263]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""008999bd-70c6-4d81-9477-3c4629ecef6c"",""arr"":[{""position"":[1103,346,1109,333,1264,340,1242,348,1101,268,1111,260,1262,269,1245,276]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d13b0198-40d0-4ca2-9fec-ca29be7b3491"",""arr"":[{""position"":[224,270,244,251,423,269,409,286,221,197,245,180,424,199,412,215]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""ff730ec9-b4bc-40c4-a7d2-45d192200cf1"",""arr"":[{""position"":[1534,422,1695,420,1721,507,1604,508,1537,260,1700,258,1725,327,1607,327]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d4716db6-9f73-480f-a1d8-89a446ea5277"",""arr"":[{""position"":[509,231,449,227,502,212,554,217,510,173,450,170,503,166,557,169]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""fa5ea401-768c-4f6f-87b4-80be32fab39c"",""arr"":[{""position"":[829,256,755,253,802,225,858,230,820,185,756,182,798,171,860,174]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""107131c4-f478-408f-b8d0-e1f6e8cc4559"",""arr"":[{""position"":[625,239,562,235,609,221,669,223,614,176,562,174,610,171,673,174]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
