targets
"{""oprNum"":""750674f7-6aaa-42b3-bb34-feb76c6389c8"",""arr"":[{""position"":[233,847,388,854,284,1001,93,992,228,701,383,707,279,838,85,829]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d2e901b5-a3c4-46a4-bfff-9390f4dfb07b"",""arr"":[{""position"":[1328,501,1432,499,1467,542,1363,546,1328,414,1431,412,1467,446,1362,449]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""033575f8-5fff-4aea-a229-790b8ce31d36"",""arr"":[{""position"":[272,625,159,621,257,560,359,563,269,503,154,501,253,464,356,466]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""8f1e60c4-e48a-4ab4-a995-8bc179f1e2fc"",""arr"":[{""position"":[467,611,589,614,537,684,404,685,464,499,585,499,534,558,399,558]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""0f5b48ec-0c78-4fa4-ae65-6ce5db13aef1"",""arr"":[{""position"":[702,614,836,612,830,672,684,672,702,486,834,484,828,533,683,530]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""63189de1-730d-4d2c-b2cf-8435ebaeb3f1"",""arr"":[{""position"":[995,533,1099,533,1106,567,988,567,996,436,1099,434,1106,462,988,461]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""af3cad10-c79d-4898-b1e9-a5876f34e4da"",""arr"":[{""position"":[946,658,1077,657,1080,733,927,733,945,536,1077,536,1079,592,926,592]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""268efe7e-4b3a-4e89-9389-b5683a359687"",""arr"":[{""position"":[194,529,86,527,182,500,285,502,193,415,84,412,179,396,284,397]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""6b946fdd-f10c-4e25-b96c-1c739af25097"",""arr"":[{""position"":[542,461,464,460,509,434,580,433,540,387,462,387,508,369,578,370]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""4a9f5205-bc39-46e9-9b52-7f2356b053f8"",""arr"":[{""position"":[501,403,428,402,481,390,556,392,499,334,426,334,477,328,554,329]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""cf9f3703-8cc3-4f60-a598-acf7ba154f79"",""arr"":[{""position"":[843,365,781,364,834,354,900,354,843,299,781,299,832,295,899,296]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""f06d33a1-c1da-4a70-9779-35e252fae71c"",""arr"":[{""position"":[684,253,684,253,684,253,684,253,684,253,684,253,684,253,684,253]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""510822eb-81ab-4c7a-9a71-7bda01bf97cb"",""arr"":[{""position"":[633,357,577,352,651,338,714,342,632,289,576,286,650,279,713,281]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
