targets
"{""oprNum"":""3cb45b1b-a107-4f73-8900-d78450e7e9c8"",""arr"":[{""position"":[227,858,378,873,268,1013,65,998,225,717,374,727,265,859,59,843]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""8803f310-bbea-4767-b85d-5c8f18eaa159"",""arr"":[{""position"":[317,594,205,591,295,540,393,542,315,480,201,478,294,445,391,446]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""bbe74c0e-01e7-49b4-887d-459d99c235d2"",""arr"":[{""position"":[1342,516,1447,514,1487,561,1379,564,1342,425,1447,423,1487,461,1379,465]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""2a3a1baf-4848-4c3e-9f29-1a642cea5ea0"",""arr"":[{""position"":[461,618,585,619,531,695,397,695,458,504,581,504,528,568,392,567]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""deac52f3-bd6a-4215-87a8-dde03b45925a"",""arr"":[{""position"":[994,548,1102,546,1108,588,987,589,994,447,1101,446,1108,477,986,479]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""12ec1208-818b-42b3-9ca2-d05a61948cb5"",""arr"":[{""position"":[226,518,124,515,216,488,315,489,223,408,122,406,214,387,314,389]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d94703db-a06d-45bc-98fa-9e2333a65b51"",""arr"":[{""position"":[702,617,838,617,830,681,682,681,701,489,836,488,828,539,681,539]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""13355fd5-8c72-4dd7-8b15-a1c46b45fea4"",""arr"":[{""position"":[940,685,1079,685,1083,769,921,769,939,558,1079,557,1082,622,919,620]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""2580d5d5-fb47-4b46-ba93-5d26d1cdf3ed"",""arr"":[{""position"":[561,446,485,446,529,423,602,423,560,375,483,376,529,360,601,361]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""1903adf2-1a18-42eb-9d23-70381b321931"",""arr"":[{""position"":[1382,283,1304,283,1304,263,1417,261,1383,201,1303,202,1303,186,1417,185]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""010a9fd8-76ed-4678-8e0b-0c2285cb5cd0"",""arr"":[{""position"":[845,364,786,360,835,346,897,346,849,299,787,298,835,291,898,293]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""52f8780f-b1bd-472d-8f62-321f37bb1c3a"",""arr"":[{""position"":[418,391,373,390,419,391,492,379,419,333,372,333,434,327,493,327]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""f64dda5c-5977-47ad-b839-2251d0de7afe"",""arr"":[{""position"":[743,297,785,305,756,314,746,304,743,251,785,260,755,261,744,252]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
